id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
3270,Noble Spoon - Turkey Dinner,.,null,null,null,null,7.4,7,87,1449876476,1,0,entree;Reheatable Entree,The Noble Spoon,The Noble Spoon,null,999,1,null,999,null,null,null,null,Entrees,null,null,null,null,null,null,null,null,null,M,null,,,,,
3271,Noble Spoon - Szechwan Beef,.,null,null,null,null,7.4,7,87,1449256062,1,0,entree;Reheatable Entree,The Noble Spoon,The Noble Spoon,null,999,1,null,999,null,null,null,null,Entrees,null,null,null,null,null,null,null,null,null,M,null,,,,,
3303,Pad Thai Salad with Tofu,.,null,null,null,null,7.95,5,87,1494169449,1,0,Other Salad;Salads,Delicious!,Delicious!,null,999,1,null,9999,null,null,null,null,Soups & Salads,4,1,1,null,null,null,null,null,null,M,null,,,,,
3304,Pasta Palermo Salad with Garbanzo Beans,.,null,null,null,null,7.95,5,87,1494463737,1,0,Other Salad;Salads,Delicious!,Delicious!,null,999,1,null,9999,null,null,null,null,Soups & Salads,4,1,1,null,null,null,null,null,null,M,null,,,,,
3421,GT Kombucha - Gingerade,"Two of Nature’s strongest forces, fresh pressed Ginger and our organic & raw Kombucha, team up to cleanse, heal, and rebalance your system. Let Gingerade be your spicy secret weapon to take on the day!",null,null,null,null,3.99,42,87,1525733373,0,0,Kombucha;Drinks,GT Kombucha,Good Stuff,null,30,2,"GTs organic raw kombucha, organic fresh pressed ginger juice",30,0,2,7,0,Drinks,12,1,2,Probiotic Drink,2.5,7.75,2.5,2.5,1000,P,W,,,,,
3422,GT Kombucha - Trilogy,"Treat yourself to this tasty trifecta! Combining a special blend of tart Lemon, tangy Raspberry, and spicy Ginger with GT's organic & raw Kombucha, Trilogy will help you to maintain flow and feel refreshed – mind, body, and soul.",null,null,null,null,3.99,42,87,1525733373,0,0,Kombucha;Drinks,GT Kombucha,Good Stuff,null,30,2,"GT's organic raw kombucha, organic raspberry juice, organic lemon juice, organic fresh pressed ginger juice",35,0,2,7,0,Drinks,12,1,2,Probiotic Drink,2.5,7.75,2.5,2.5,1000,P,W,,,,,
3423,GT Kombucha - Multigreen,"G.T.'s Organic Raw Kombucha, Organic Turmeric, Organic Carrot, Organic Ginger",null,null,null,null,3.99,28,87,1510290114,1,0,Kombucha;Drinks,GT Kombucha,Good Stuff,null,35,2,"organic raw kombucha, blue-green algae, spirulina, chlorella",35,1,2,7,0,Drinks,12,1,2,Probiotic Drink,2.5,7.75,2.5,2.5,null,M,null,,,,,
3430,Banana Bam Bam Paleo Muffin,"Bananas, Almonds, Cage-Free Eggs, Blueberries, Coconut, Dates, Chia Seeds, Baking Soda, Vanilla Extract, Sea Salt",null,null,null,null,3.5,1,87,1449538952,1,0,snack,null,null,null,null,null,null,null,null,null,null,null,Breakfast,null,null,null,null,null,null,null,null,null,M,null,,,,,
3431,Yam Good Paleo Muffin,"Yams, Almonds, Cage-Free Eggs, Dates, Apples, Pecans, Ginger, Coconut Oil, Baking Soda, Spices, Flaxseed, Vanilla Extract, Sea Salt",null,null,null,null,3.5,1,87,1449538940,1,0,snack,null,null,null,null,null,null,null,null,null,null,null,Breakfast,null,null,null,null,null,null,null,null,null,M,null,,,,,
3432,24 Carrot Gold Paleo Muffin,"Almonds, Applesauce, Carrots, Dates, Raisins, Flaxseed, Ginger, Spices, Baking Soda, Vanilla Extract, Sea Salt",null,null,null,null,3.5,1,87,1449538922,1,0,snack,null,null,null,null,null,null,null,null,null,null,null,Snacks,null,null,null,null,null,null,null,null,null,M,null,,,,,
